-1;Its not the paper I'm concerned about its the printers and print cartridges..... fucking waste;;
0;Everyone involved in the making of this video must have gotten at least 20 paper cuts;;
1;Finally a new video!!!;;
0;Yeah, fuck trees!;;
0;Joe Dunn I'm sorry but are you kidding because I hope you are. We need trees to breath, if we didn't have them there would be no oxygen and we'd die;;
0;Fine I'll buy the printer;;
0;the scenes with complicated pictures were made on a computer, the easier ones are real;;
-1;tbh.. mute.;;
0;When CGI is too mainstream.;;
0;"I love how, every video, OKGO is just like ""How can we put an absurd amount of work into something, and spend days filming, months preparing, just for one short, song-length music-video just to impress people?""";;
1;Micah Philson because their true artist;;
-1;FAKE! FAKE! FAKE!;;
-1;Creative, but blatant product placement.  It feels like a giant commercial for Double A's Smooth Paper, more than a music video to highlight the song.;;
-1;"“blatant product placement”
i mean this isn’t new";;
0;"This is epic, but was it necessary?  In a world that's already feeling the effects of global warming, using obscene amounts of paper and ink is really irresponsible.  Regardless of whether or not the paper is ""recycled.""";;
1;THIA IS MESSING WITH MY BRAIN!!!!!;;
1;Another amazing video! For those going OMGPRINTERINK, they were probably sponsored by the company being plugged at the end, so it's a business write off for them. I'm glad the paper was recycled and I appreciate all of the planning work and collaborating that went into producing the video.;;
0;Is this stop motion or sped up?;;
0;fuck. the maths behind that;;
-1;so this is an ad?;;
1;I'd totally buy one of those printers OK GO used if I could.;;
1;The planning, preparation, and execution for this is inhuman.;;
-1;K then total waste;;
0;It's hard enough getting one printer to fucking work...;;
1;I like how the movements are like End Love.;;
-1;R.I.P trees _;;
-1;why do all their music videos have to be so elaborate?;;
1;Always perfect;;
0;Mmm it’s was cool but not the catchiest song and great video as always;;
0;How did they coordinate those printers so well, I can't even get my own printer to print on time;;
1;I would love to see the behind scenes video of this amazing performance.;;
1;OK Go has the best music videos. Unbeatable!!;;
1;Brilliant. Cheers, JAYTEE;;
1;This is how you make a sponsored video! The creativity and work that goes into these videos is insane!;;
0;What if OK GO directed a porno;;
0;How many paper you guys wasted?;;
0;Really nice video, not digging the music as much...;;
-1;Greenpeace is an anti-scientific cult not worthy of anyone’s money.;;
0;I_ CANT MENTALLY PROCESS THIS;;
0;Who's Still Watching This in 2017???;;
-1;Did I just watch an ad on paper?;;
1;YAAAAALLLLLLLLLLLL y'all need more recognition i swear;;
;Only thing that would make this better is if it was sponsored by Dunder Mifflin.;;
-1;Would like this except for the donation to Greenpeace. Not cool.;;
-1;Why am I watching this??;;
1;Great song and video, I'm amazed at how all the printers worked perfectly, not like the ones in my office lol.;;
-1;#ad;;
-1;they could've auctioned off bundles of paper to donate, instead of just recycle.;;
0;when a band's music videos are better than their music, i don't know it's a good thing or a bad thing.;;
-1;Think of the poor fool who had to clean that up;;
-1;"The video is cool, but the music is mundane, simplistic, pedestrian and forgettable; dull.";;
1;Never cease to amaze.;;
1;A W E S O M E;;
1;You lads are brilliant.;;
-1;Ok I know the paper was recycled, but that still requires a lot of energy to break down, turn to pulp, bleach, and remake into new paper....;;
-1;They are over here doing this and my printer won't even stay connected to my computer...;;
0;I'm so fucking high right now.;;
1;Whoa… _;;
1;OK GO for the win. Again.;;
1;"Oh I know why the song seems familiar.
I was obsessed with it when the album came out.";;
1;You guys need to make a behind the scenes video on this;;
1;GOD I've been waiting for another one of their music videos. Legends __;;
1;A lot of people are complaining about how the song isn't very good. But I think it sounds good. Guess everyone has different tastes.;;
1;neat;;
-1;TRASH!!!!!!!!!!!;;
1;it’s incredible!!!;;
1;I always love their videos, but the only song I like from them is Here it Goes Again, nevertheless a great video thou.;;
1;Really jealous of everyone who watches this stoned;;
-1;For our next music video, we're going to skip the middleman and just go burn down an old growth forest!;;
1;These guys are always fucking awesome with their concepts for videos! LOVE THEM!!!!;;
0;Was that sign language at 1:43?;;
0;"He spells out ""obsession""";;
0;I kept thinking of Dunder-Mifflin the whole time.... _;;
1;Got to meet these guys in person at Interlochen Arts Camp. Super talented and kind.;;
1;Alright fine, I’ll buy your salt.;;
1;Someone in Double A's acquisitions department deserves a big raise.;;
0;Most boring song of all time;;
1;Visual amusement fun factor equal to Peter Gabriel's Sledgehammer. Felt like a kid again watching this. Well done.;;
1;How Dunder mifflin’s commercial should have been made;;
-1;God damn!  Whatever happened to seizure warnings?  My freaking head!!;;
1;Wonderful work as always! Film directors should really be asking them to help with their special effects, they're always so well coriographed and composed!;;
-1;How many papercuts;;
1;can I get one of those printers;;
1;They always make creative ass videos bruh;;
-1;Yeah, not sure if it was the song, the effect, or the commercialism, but this really seemed less impressive than their past work.;;
-1;This is cool but low-key creepy.;;
1;I always smile when I see artists incorporate sign language into their videos.;;
1;And such GREAT guys!! Meeting them was a joy. I wish them so much success!;;
1;"WHAT. THE. HECK?
Awesome job yet again guys.______";;
1;ok go makes the coolest videos;;
0;Ok but how did they those printers to work without jamming?;;
0;I think he sighned obsession;;
1;Ok Go are fucking legends;;
-1;Paper waster!;;
-1;I can't even manage to get my one printer to work...;;
0;_______;;
-1;That’s a metric crap ton of paper;;
1;Their music videos are so awesome.;;
1;I love the creativity.;;
1;OK GO always produces videos where you sit there wondering how exactly did they do that.;;
1;"paper
paper is how they did that";;
0;Did wee just watch an ad for printer paper?;;
1;I’ve got to hand it to them. They have some of the most creative music videos I’ve ever seen.;;
-1;Ugh...I mean it was interesting to see but the music was....meh.;;
-1;3D videos on 3DS. Big broken promise.;;
0;that's so experimental song tho;;
-1;This would have been so much cooler if they would have used iPads instead of those printers;;
0;Reminiscent of Depeche Mode;;
1;I love the video and love the music even more!;;
0;Brought to you by: Dunder Milflin Paper.;;
1;So awesome _!!!!;;
1;K.... When they do stuff like this, it makes me question if they are human. And how an Alien gets a music video budget like this!! X) keep it going guys. Love it.;;
0;Because you couldn’t have hired a struggling animator to do this and actually helped someone out.;;
-1;what the hell are you talking about?;;
-1;So - get tons of fresh paper (otherwise it's not smooth), recycle it, print using tons of ink cartridges that don't get recycled, say that the proceeds go to an organization that is considered for the environment but has changed in the past decade to be mainly against saving it in modern ways and release one of the worst videos they ever did while basically advertising two organizations... I'm really sad but I down voted this.;;
0;I_ feel like this could be on a Portal soundtrack;;
1;mind blown. these guys do the coolest videos;;
0;Sponsored by dundermiflin;;
-1;Whether you recycle or not, recycling still takes up valuable resources and increases our carbon footprint. Creativity doesn't have to come at such a high cost. It all wasn't worth it. The cost to cut down the trees, bleach the paper, the chemicals that go into our oceans, the oil n gas needed to produce the paper, get it to you and the get it to the recycling depot, then the chemicals and energy to recycle paper that was used simply for entertainment is ridiculous. Your excuses and short sightedness is killing our oceans, insects and deforesting our planet increasing the carbon dioxide in the air, but hey it's ok cus you recycled it and put your slaughter to a timed musical creative endeavor.;;
-1;That is a waste of paper and bad for the environment. Plus some papers got  caught ruining the video;;
-1;"it's not a waste, every sheet got recycled and after this amazing show hundreds of thousands of dollars went into because of a few peices of paper got stuck you dislike this ?!
some people.";;
-1;Not sure if this is more unlistenable or more unwatchable. It's definitely both.;;
0;can you elaborate on why you think it’s unwatchable?;;
0;Nice! https://www.facebook.com/GreatdealsfromeBay/;;
1;I really enjoyed it when he spelled out obsession in ASL, nice touch;;
1;Wow, fantastic work guys.;;
0;Music is crap but they have cool videos;;
1;I swear OK Go make the most simple yet most complex music videos ever and it always come off so amazingly.;;
1;Their videos are always great. The music seldom is.;;
1;How was this made. Id like to see that. Awesome;;
1;Creative as always;;
0;What kind of model is this laser printer that prints without margins?)));;
